checkpoint,condition,train_seed,eval_seed,eval_policy,ablation,history_intervention,sender_remap,cross_play,sender_id,summary,fhat_bin,action,n_obs,p_message_1,checkpoint_episode,suite_kind,observability_mode,public_signal_sigma
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,p_msg1_given_fhat,1.5<=fhat<2.5,,6008,0.6191744340878829,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,p_msg1_given_fhat,2.5<=fhat<3.5,,6306,0.570884871550904,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,p_msg1_given_fhat,3.5<=fhat<4.5,,4259,0.8504343742662597,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,p_msg1_given_fhat,fhat<1.5,,8295,0.8254370102471368,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,p_msg1_given_fhat,fhat>=4.5,,5132,0.946024941543258,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,p_msg1_given_fhat,1.5<=fhat<2.5,,6070,0.4683690280065898,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,p_msg1_given_fhat,2.5<=fhat<3.5,,6329,0.42802970453468164,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,p_msg1_given_fhat,3.5<=fhat<4.5,,4303,0.5266093423193121,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,p_msg1_given_fhat,fhat<1.5,,8194,0.6104466682938736,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,p_msg1_given_fhat,fhat>=4.5,,5104,0.9322100313479624,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,p_msg1_given_fhat,1.5<=fhat<2.5,,6037,0.912704985920159,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,p_msg1_given_fhat,2.5<=fhat<3.5,,6353,0.951991185266803,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,p_msg1_given_fhat,3.5<=fhat<4.5,,4191,0.6511572417084228,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,p_msg1_given_fhat,fhat<1.5,,8255,0.09133858267716535,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,p_msg1_given_fhat,fhat>=4.5,,5164,0.06235476374903176,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_3,p_msg1_given_fhat,1.5<=fhat<2.5,,6013,0.5083984699817063,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_3,p_msg1_given_fhat,2.5<=fhat<3.5,,6316,0.6247625079164028,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_3,p_msg1_given_fhat,3.5<=fhat<4.5,,4308,0.7110027855153204,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101_ep50000.pt,cond1,101,9001,greedy,none,none,none,none,agent_3,p_msg1_given_fhat,fhat<1.5,,8261,0.6500423677520881,50000,comm,private,
